siman|seif|text
סימן ב - הלכות נטילת ידים שחרית ובו ט' סעיפים:|ד|צריך לטול ידיו דוקא לתוך כלי. ואסור להנות ממי הנטילה, מפני שרוח רעה שורה עליהם, וישפכם במקום שאין בני אדם הולכים.
סימן ב - הלכות נטילת ידים שחרית ובו ט' סעיפים:|ה|לא יגע קודם נטילה לא בפה, ולא בחוטם, ולא בעינים, ולא באזנים, ולא בפי הטבעת, ולא באכלים, ולא במקום הקזה, מפני שרוח רעה השורה על הידים קודם נטילה, מזקת לדברים אלו.
סימן ב - הלכות נטילת ידים שחרית ובו ט' סעיפים:|ו|טוב להקפיד בנטילת ידים שחרית בכלי ובמים ובכוח גברא כמו בנטילת ידים לסעודה (סימן מ'). אך בשעת הדחק שאין לו מים כראוי והוא רוצה להתפלל, יכול לטול ידיו מתוך כל דבר ובכל מיני מים ובלא כוח גברא, ויכול לברך על נטילת ידים. ואם יש לפניו נהר, טוב יותר שיטבול בו ידיו שלוש פעמים או אפלו בשלג. אבל אם אין לו מים כלל, יקנח ידיו באיזה דבר ויברך על נקיות ידים, ודי לו לתפלה. ולכשיזדמן לו אחר כך מים וכלים הראויים, יטול ידיו עוד הפעם כראוי. אבל לא יברך עוד.
סימן ב - הלכות נטילת ידים שחרית ובו ט' סעיפים:|ז|כתיב, ברכי נפשי את ה' וכל קרבי את שם קדשו. וכיון שצריך האדם לברך את השם בכל קרביו, אסור לברך עד שינקה את הקרבים מצואה ומי רגלים. ובבוקר בקומו מסתמא הוא צריך לעשות צרכיו או לכל הפחות להשתין, על כן לא יברך ברכת על נטילת ידים בשעת נטילה עד לאחר שינקה את עצמו, וירחץ ידיו עוד פעם אחת ואז יברך על נטילת ידים ואשר יצר וברכת התורה אלוהי נשמה וכו'.
סימן ב - הלכות נטילת ידים שחרית ובו ט' סעיפים:|ח|אם השכים ונטל ידיו בעוד לילה כדינו והיה ער עד אור היום, או שהיה ישן אחר כך שנית בעוד לילה, וכן הישן ביום שתין נשמין (שהוא לערך חצי שעה), וכן הנעור כל הלילה [ולא ישן שתין נשמין], בכל אלו יש ספק אם צריכים נטילת ידים או לא. לכן יטול ידיו שלוש פעמים בסרוגים כדלעיל סעיף ג', אבל לא יברך עליהם.
סימן ב - הלכות נטילת ידים שחרית ובו ט' סעיפים:|ט|אלו דברים צריכין נטילת ידים במים, הקם מן המטה, והיוצא מבית הכסא, ומבית המרחץ, והנוטל צפרניו, והמגלח שערותיו, והחולץ מנעליו, והמשמש מטתו, והנוגע בכנה, והמפלה את בגדיו אפלו לא נגע בכנה, והחופף ראשו, והנוגע בגופו במקומות המכוסים, והיוצא מבית הקברות, והמלוה את המת או שנכנס באוהל המת, והמקיז דם (סימן ד').
סימן ג - דין לבישת בגדיו והלוכו ובו ח' סעיפים:|א|כתיב, והצנע לכת עם אלוהיך. לפיכך צריך האדם להיות צנוע בכל ארחותיו. ולכן כשלובש או פושט את חלוקו או שאר בגד שעל בשרו, ידקדק מאוד שלא לגלות את גופו, אלא ילבישו ויפשיטו כשהוא שוכב על משכבו מכוסה. ואל יאמר הנני בחדרי חדרים ובחשכה מי רואני, כי הקדוש ברוך הוא מלא כל הארץ כבודו, וכחשכה כאורה לפניו יתברך שמו. והצניעות והבושת, מביאות את האדם לידי הכנעה לפניו יתברך שמו (סימן ב').
סימן ג - דין לבישת בגדיו והלוכו ובו ח' סעיפים:|ב|אין הולכין בחוקות הגויים, ולא מתדמים להם, לא במלבוש ולא בשער וכיוצא בהם, שנאמר, ולא תלכו בחוקות הגוי. ונאמר, בחוקותיהם לא תלכו. ונאמר, השמר לך פן תנקש אחריהם. לא ילבש מלבוש המיוחד להם לשום גאות והוא מלבוש שרים, ולדוגמא הא דאמרינן בגמרא, דאסור לישוראל להתדמות להם אפלו ברצועות המנעל. שאם היה דרכם לקשור כך ודרך ישוראל בענין אחר או שהיה מנהגם להיות להם רצועות אדומות ושל ישוראל שחורות משום דצבע שחור מורה על ענוה ושפלות וצניעות, אסור לישוראל לשנות. ומזה ילמד כל אדם לפי מקומו ושעתו, שהמלבוש העשוי ליוהרא ופריצות לא יעשה הישוראל כן, אלא מלבושיו יהיו עשויים בענין המורה על הכנעה וצניעות. הכי אמרינן בספרי, שלא תאמר הואיל והן יוצאין בארגמן אף אני אצא בארגמן, הואיל והן יוצאין בקולסין (פרוש, כלי זין) אף אני אצא בקולסין, שדברים הללו דברי שחץ וגאוה הם, ולא כאלה חלק יעקוב, אלא דרכם להיות צנועים וענוים, ולא לפנות אל רהבים. וכן כל דבר שנהגו למנהג ולחוק דאכא למיחש שיש בו שמץ עבודה זרה, לא יעשה הישוראל כן. וכן לא יגלח ולא יגדל שערות ראשו כמוהם, אלא יהא מובדל מהם במלבושיו ובדבורו ובשאר מעשיו כמו שהוא מובדל מהם במדעו ובדעותיו. וכן הוא אומר, ואבדיל אתכם מן העמים.
סימן ג - דין לבישת בגדיו והלוכו ובו ח' סעיפים:|ג|לא ילבש בגדים יקרים כי דבר זה מביא את האדם לידי גאוה, ולא בגדים פחותים מאוד או מלוכלכים, שלא יתבזה בעיני הבריות, אלא יהיו לו בגדים ממוצעים ונקיים (רמב"ם פ"ה מהלכות דעות). לעולם ימכור אדם אפלו קורות ביתו ויקח מנעלים לרגליו (אורח חיים סימן ב).
סימן ג - דין לבישת בגדיו והלוכו ובו ח' סעיפים:|ד|לפי שמצינו שהימין היא חשובה בתורה לענין עבודה ולענין בוהן יד ובוהן רגל של מלואים ושל מצורע ולענין מצות חליצה, לכן בלבישה וכן בשאר דברים לעולם יקדים של ימין לשל שמאל. ובחליצת המנעלים ושאר בגדים, יחלוץ של שמאל תחלה (שזהו כבודה של ימין). ואך לענין קשירה, השמאל חשוב יותר, מפני שקושרים עליו את התפלין. ולכן כשצריך לקשור יקשור של שמאל תחלה, כגון מנעלים שיש בהם קשירה, נועל של ימין ואינו קושרו, ונועל את של שמאל וקושרו, ואחר כך קושר של ימין. וכן בשאר בגדים.
סימן ג - דין לבישת בגדיו והלוכו ובו ח' סעיפים:|ה|יזהר מללבוש שני בגדים ביחד, משום דקשה לשכחה.
סימן ג - דין לבישת בגדיו והלוכו ובו ח' סעיפים:|ו|אסור לילך ארבע אמות או להוציא מפיו דבר שבקדושה בגלוי הראוש. וגם הקטנים צריכים להרגילן לכסות ראשן, כי היכי דתהוי עליהו אימתא דשמיא. כדמצינו ברב נחמן בר יצחק. אמה דרב נחמן בר יצחק אמרו לה כלדאי (חוזים בכוכבים), בריך גנבא הוה, לא שבקתה גלויי רישא. אמרה לה, כסי רישך כי היכי דתהוי עלך אימתא דשמיא וכו' (שבת דף קנ"ו ע"ב).
סימן ג - דין לבישת בגדיו והלוכו ובו ח' סעיפים:|ז|אסור לילך בקומה זקופה וגרון נטוי, כענין שנאמר, ותלכנה נטויות גרון וגו' (אורח חיים שם). ומכל מקום לא יכוף ראשו יותר מדאי, אלא במדה בינונית, בכדי שיראה את הבא כנגד פניו וגם יראה מדרך כף רגלו (הר"י בספר היראה). גם ממהלכו של אדם נכר אם חכם ובעל דעה הוא או שוטה וסכל. וכן אמר שלומוה בחכמתו, וגם בדרך כשהסכל הולך לבו חסר, ואמר לכול סכל הוא הוא. מודיע לכול על עצמו שהוא סכל (רמב"ם שם).
סימן ג - דין לבישת בגדיו והלוכו ובו ח' סעיפים:|ח|יש לזהר שלא ילך איש בין שתי נשים, ולא בין שני כלבים או שני חזירים. וכן לא יניחו האנשים שתלך ביניהם אשה או כלב או חזיר (פסחים קיא).
סימן ד - הנהגת בית הכסא ודיני ברכת אשר יצר ובו ו' סעיפים:|א|ירגיל את עצמו לפנות ערב ובוקר שהוא זריזות ונקיות. אם אינו יכול לפנות, ילך ארבע אמות וישב עד שיפנה, או יסיח דעתו מדברים אחרים. המשהה נקביו, עובר משום בל תשקצו. ואם משהה מלהטיל מים בעת צרכו, עובר גם משום לא יהיה בך עקר (סימן ב' ג').
סימן ד - הנהגת בית הכסא ודיני ברכת אשר יצר ובו ו' סעיפים:|ב|יהא צנוע בבית הכסא. לא יגלה את עצמו, עד שישב. וגם אז יצמצם שלא לגלות רק מה שמוכרח לו לגלות, שלא לטנף את בגדיו. ויזהר בזה גם בלילה כמו ביום. אם נפנה במקום מגולה שאין שם מחיצות, יכון שיהא פניו לדרום ואחוריו לצפון או אפכא. אבל בין מזרח למערב, אסור. ואם יש מחיצה, יכול לפנות בכל ענין אם אחוריו לצד המחיצה. ולהשתין, מותר בכל ענין. לא יפנה בפני שום אדם. ואפלו בפני נכרי, אסור. אבל להשתין, מותר אפלו ביום בפני רבים אם צריך לכך, משום דאכא סכנה אם יעצור את עצמו. ומכל מקום יש לו להסתלק לצדדים.
סימן ד - הנהגת בית הכסא ודיני ברכת אשר יצר ובו ו' סעיפים:|ג|לא יפנה בעמידה. ולא יאנוס לדחוק עצמו יותר מדאי, שלא ינתק שני הכרכשתא. ולא ימהר לצאת מבית הכסא, עד אשר ברור לו שאינו צריך עוד. וכשמטיל מים בעמידה, ישגיח שלא ינתזו על מנעליו ובגדיו. ויזהר מאוד שלא לאחוז בידיו במילתו (ועין לקמן סימן קנ"א) (סימן ג').
סימן ד - הנהגת בית הכסא ודיני ברכת אשר יצר ובו ו' סעיפים:|ד|בבית הכסא אסור להרהר בדברי תורה (כדלקמן סימן ה' ס"ב). לכן בהיותו שמה, טוב שיהרהר בעסקיו ובחשבונותיו, שלא יבא לידי הרהור תורה או הרהור עברה חס ושלום. ובשבת שאין להרהר בעסקיו, יהרהר בדברים נפלאים שראה ושמע וכדומה (סימן פ"ה).
סימן ד - הנהגת בית הכסא ודיני ברכת אשר יצר ובו ו' סעיפים:|ה|יזהר לקנח את עצמו יפה. כי, אם יש לו אפלו משהו צואה בפי הטבעת, אסור לו לומר שום דבר שבקדושה (כדלקמן סימן ה' סעיף ג). לא יקנח ביד ימין, מפני שקושר בה התפלין. ומהאי טעמא אין לקנח באצבע אמצעית של שמאל שכורך עליה הרצועה של תפלין. ואטר יד, יקנח בשמאל דידה שהיא ימין של כל אדם.
סימן ד - הנהגת בית הכסא ודיני ברכת אשר יצר ובו ו' סעיפים:|ו|בכל פעם שנפנה או שמטיל מים ואפלו רק טפה אחת, ירחץ ידיו במים ויברך ברכת אשר יצר. אם הטיל מים או נפנה ושכח מלברך אשר יצר, ואחר כך שוב הטיל מים או נפנה ונזכר שבראשונה לא ברך, אינו צריך לברך רק פעם אחת. ומי ששותה סם המשלשל ויודע שיצטרך לפנות כמה פעמים, לא יברך עד לאחר הגמר (סימן ז').
סימן ה - נקיון המקום לדבר שבקדשה ובו י"ז סעיפים:|א|כתיב, וכסית את צאתך כי ה' אלוהיך מתהלך בקרב מחניך וגו', והיה מחניך קדוש ולא יראה בך ערות דבר וגו', מכאן למדו רבותינו זכרונם לברכה, שבכל מקום אשר ה' אלוהינו מתהלך עמנו, דהינו כשאנו עוסקים בדבר שבקדושה, כגון קריאת שמע, תפלה, תורה וכדומה, צריך להיות המחנה קדוש, שלא תהא צואה מגולה שם, ושלא יראה דבר ערוה כנגד פניו של אדם הקורא או מתפלל (סימן ע"ד).
סימן ה - נקיון המקום לדבר שבקדשה ובו י"ז סעיפים:|ב|ואפלו להרהר בדברי קדושה במקום צואה או מי רגלים או כל דבר שהוא מסריח, אסור, עד שיכסה אותו, כמו שנאמר, וכסית את צאתך. או שיטיל לתוך מי רגלים של פעם אחת רביעית מים, לא שנא שהיו הם בכלי תחלה ונותן עליהם מים, ובין אם היו המים בכלי תחלה (ואם היו מי הרגלים בעביט המיוחד להם, לא מהני להו מים כדלקמן סעיף יג). ולמי רגלים של שתי פעמים, צריכים שתי רביעיות מים. וכן לעולם. ואפלו אם נבלעו מי הרגלים בקרקע או בבגד, כול שיש שם עדין קצת לחלוחית מהם, צריך לשפוך שם מים.
סימן ה - נקיון המקום לדבר שבקדשה ובו י"ז סעיפים:|ג|אם יש צואה על בשרו, אף על פי שמכוסה בבגדיו, אסור בדברי קדושה, שנאמר, כל עצמותי תאמרנה, ה' מי כמוך. בעינן שיהיו כולם נקיים. ויש מקילין בזה, אבל הנכון להחמיר. ואם יש לו אפלו מעט צואה בפי הטבעת, אף על פי שהיא מכוסה, לכולי עלמא לא מהני, מפני שבמקומה זוהמתה מרובה (מי שיש לו חלי הטחורים, עין מגן אברהם סימן ע"ו סעיף קטן ח' שהביא תשובת הרדב"ז בזה והיא בחלק ג' סימן שט"ו. ובסוף דברי המגן אברהם שכתב, ואין לו תקנה, הוא טעות סופר, וצריך להיות, ואינו צריך תקנה. עין יד אפרים. ועין לקמן סימן קס"ה סעיף י).
סימן ה - נקיון המקום לדבר שבקדשה ובו י"ז סעיפים:|ד|צריכין לזהר שבכל מקום שיש להסתפק שמא יש שם צואה או מי רגלים, לא יאמר שם שום דבר שבקדושה עד שיבדוק את המקום (סימן ע"ו). ואין להתפלל בבית אם בעליה יש מקום מטונף (פרמ"ג סימן קנ"ד משבצות-זהב סעיף קטן א').
סימן ה - נקיון המקום לדבר שבקדשה ובו י"ז סעיפים:|ה|תינוק שאחרים בימיו יכולים לאכול כזית מיני דגן אפלו על ידי תבשיל בכדי שגדול אוכל שעור פרס (וכתב בספר מגדול עוז להגאון מורנו הרב יעב"ץ ז"ל, דהינו כשנעשה בן שנה), מרחיקין מצואתו וממי רגליו. וטוב וישר להרחיק גם מצואת קטן בן שמונה ימים.
סימן ה - נקיון המקום לדבר שבקדשה ובו י"ז סעיפים:|ו|צואת אדם, אף על פי שאין לה ריח רע, וכן צואת חתול ונמיה וצואת תרנגול אדומי (תרנגול הודו) (אינדיק) מרחיקים מהן. ושאר צואה של בהמה חיה ועוף, מסתמא אינה מסרחת ואין צריכים להרחיק מהן. אבל אם מסרחת וכן נבלה המסרחת וכל דבר המסריח מחמת עפוש, וכן לול של תרנגולים, מרחיקים מהם. וכן מרחיקים ממים סרוחים. ומי משרה ששורים בהם פשתן או קנבוס, סתמם מסריחים וצריכים להרחיק מהם כמו מן הצואה.
סימן ה - נקיון המקום לדבר שבקדשה ובו י"ז סעיפים:|ז|צואה יבשה כל כך שהיא נפרכת על ידי גלילה, הרי היא כעפר. והוא שלא יהא בה ריח רע. אבל אם נקרשה מחמת הקור, כיון שיכולה לחזור לקדמותה בזמן החום, עדין שם צואה עליה. וצואה שנתכסתה בשלג, חשוב כסוי.
סימן ה - נקיון המקום לדבר שבקדשה ובו י"ז סעיפים:|ח|עד כמה מרחיקים. היתה הצואה מאחריו, צריך להרחיק ממקום שכלה הריח ארבע אמות. ואפלו אם הוא אינו מריח, צריך להרחיק שעור זה כאלו היה מריח, ואם הצואה אינה מסרחת, די אם מרחיק ממנה ארבע אמות. ואם הצואה מלפניו, צריך להרחיק כמלא עיניו. ואפלו בלילה, צריך להרחיק כשעור שהיה יכול לראותה ביום. ואם היא מן הצדדים, יש להחמיר כאלו היתה בפניו. ויטה את עצמו כדי שתהא לאחריו (ע"ט פ"א).
סימן ה - נקיון המקום לדבר שבקדשה ובו י"ז סעיפים:|ט|בית שמתפללים בו בצבור ונמצאה שם צואה, אף על פי שהיא אחורי השליח צבור ורחוקה ממנו יותר מארבע אמות ממקום שכלה הריח, מכל מקום צריך הוא לשתוק ולהמתין עד שיוציאוה או יכסוה, מפני שאי אפשר שלא תהא לאחד מן הצבור תוך ארבע אמות ממקום שכלה הריח, ואסור לו לשמוע ולכון למה שאומר השליח צבור (ע"ט).
סימן ה - נקיון המקום לדבר שבקדשה ובו י"ז סעיפים:|י|מי שהתפלל ומצא אחר כך שיש שם צואה, אם המקום ההוא היה ראוי להסתפק בו שמא יש שם צואה והוא פשע ולא בדק, כיון שתפלת שמונה עשרה היא במקום קרבן, הוה לה זבח רשעים תועבה, וצריך לחזור ולהתפלל שמונה עשרה. וכן קריאת שמע שהיא מדאוריתא ואין בה חשש ברכה לבטלה, חוזר וקורא, אבל בלא הברכות. וכן שאר ברכות שאמר שם, ואפלו ברכת המזון, אינו חוזר ומברך. ואם המקום ראוי להסתפק בצואה, שאז לא פשע, אפלו בתפלה יוצא בדיעבד. ואם נמצאו מי רגלים, אפלו המקום ראוי להסתפק יוצא בדיעבד גם בתפלה (סימן ע"ו קפ"ה ובנ"א).
סימן ה - נקיון המקום לדבר שבקדשה ובו י"ז סעיפים:|יא|יצא ממנו ריח מלמטה, אסור בדבר שבקדושה עד שיכלה הריח. ואם יצא מחברו, גם כן צריך להמתין. רק אם הוא עוסק בלמוד תורה. אינו צריך להמתין בשביל ריח שיצא מחברו (ע"ו).
סימן ה - נקיון המקום לדבר שבקדשה ובו י"ז סעיפים:|יב|בית הכסא, אף על פי שיש לו מחיצות ואין בו צואה, צריכים להרחיק ממנו. ולכן ספסל העשוי עם נקב שמעמידים תחתיו גרף לפנות עליו, אף על פי שהוציאו את הגרף וכסו את הנקב בדף, מכל מקום יש לספסל הזה דין בית הכסא, וצריכים להוציאו מן הבית או לכסותו כולו. אך אם הוא כסא המיוחד לישיבה ומכוסה בכר לישב עליו ורק לעת הצורך מסירים את הכר ונפנים שם ושוב מחזירים עליו את הכר, בזה יש להקל.
סימן ה - נקיון המקום לדבר שבקדשה ובו י"ז סעיפים:|יג|גרף של רעי ועביט של מי רגלים, אם הם של חרס או של עץ, דינם כבית הכסא. ואף על פי שהם נקיים ואין להם ריח רע, ואפלו נתן לתוכם מים או שכפאם על פיהם, לא מהני. ואפלו נתנם תחת המטה, לא מהני (דמטות שלנו אינן חוצצות), אלא צריך להוציאם מן הבית או לכסותם. ואם הם של מתכת או זכוכית, אם הם רחוצים יפה ואין בהם ריח רע, אין צריכים להרחיק מהם. פי חזיר, כיון שדרכו לנקר בצואה, דינו כגרף של רעי. ואפלו עולה מן הנהר, אין הרחיצה מועלת לו (ע"ו פ"ז).
סימן ה - נקיון המקום לדבר שבקדשה ובו י"ז סעיפים:|יד|בבית המרחץ גם כן אסור לדבר או להרהר בשום דבר שבקדושה ואסור להזכיר שמות המיוחדים להקדוש ברוך הוא אפלו בלשון חול (כגון, גאט בלשון אשכנז, וכיוצא בזה בשאר לשונות) בבית המרחץ או במבואות המטונפים. וכן אסור לתן שם שלום לחברו, כי שלום הוא שמו של הקדוש ברוך הוא, שנאמר, ויקרא לו ה' שלום. ואדם ששמו שלום, יש אוסרים לקרותו שם בשמו, ויש מתירים כיון שאינו מכון על ענין השלום אלא להזכרת שמו של אותו אדם. וכן נוהגים להקל. וירא שמים, יש לו להחמיר (פ"ד פ"ה).
סימן ה - נקיון המקום לדבר שבקדשה ובו י"ז סעיפים:|טו|אסור לדבר דברי תורה וקדושה נגד ערוה, בין של אחר. ואפלו של קטן וקטנה (רק לצורך מצות מילה, מותר לברך נגד ערות התינוק). ואפלו אם עוצם עיניו שלא לראות את הערוה, לא מהני, כיון שהיא נגדו, אלא יטה פניו וגופו מכנגדה.
סימן ה - נקיון המקום לדבר שבקדשה ובו י"ז סעיפים:|טז|גוף האשה, כל מקום שדרכה להתכסות, אם נתגלה שם שעור טפח, וכן שערות שלא אשה נשואה אשר דרכה לכסותן, אם נתגלה קצת מהן, חשוב כמו ערוה לגבי איש. ואין חלוק בין שהיא אשתו או אשה אחרת. אבל לגבי אשה, לא חשיבי כמו ערוה. קול זמר של אשה, חשוב גם כן כמו ערוה. ומכל מקום בשעת הדחק שהוא שומע נשים מזמרות ואי אפשר לו למחות, לא יתבטל משום זה מקריאת שמע ותפלה ותורה, אלא יתאמץ לכון כל לבבו להקדושה שהוא עוסק בה, ולא יתן לב עליהן (ע"ה).
סימן ה - נקיון המקום לדבר שבקדשה ובו י"ז סעיפים:|יז|אם לבו רואה את הערוה שלו, אף על פי שהערוה היא מכוסה, כגון שהוא לבוש בחלוק, גם כן אסור לו לומר כל דבר שבקדושה, אלא צריך להיות לבוש במכנסים שהם מדובקים על גופו, או שיאזור באזור, או יניח זרועותיו על החלוק כדי להפסיק בין לבו לערותו. ואשה אינה צריכה לזאת.
